epoch,trn loss,val loss
0,0.035473628981610925,0.02755155134946108
1,0.020596570956821398,0.023690402368083598
2,0.01858865811881851,0.023768538422882558
3,0.017857993076606765,0.023329846374690533
4,0.017019615329868034,0.02158385398797691
5,0.016389979768221773,0.02053796239197254
6,0.015891231714718512,0.020475876703858375
7,0.015955361839215174,0.019810143345966934
8,0.015322685789859554,0.0205671698320657
9,0.014985551551629709,0.018755182437598706
10,0.014665354807736484,0.019207047997042537
11,0.014290687706922805,0.0184408709872514
12,0.014829941438584347,0.019537272304296492
13,0.014120929549066864,0.018620300199836494
14,0.014032666842768512,0.019401328498497607
15,0.01384052108170274,0.017796557606197895
16,0.013680646938499151,0.0181318246293813
17,0.013827038777618133,0.018118577543646097
18,0.013627028986481642,0.017909313039854168
19,0.013287876884812328,0.019812858058139683
