epoch,trn loss,val loss
0,0.04910577281092213,0.029042083630338313
1,0.03513593059289819,0.030574168637394906
2,0.032683260824098656,0.023356581456027925
3,0.03070771712149809,0.023010428179986775
4,0.029908709198705793,0.022103799576871096
5,0.02936320916445207,0.02078844008501619
6,0.028660442033877933,0.020288241654634477
7,0.02809204831517734,0.020683971815742552
8,0.028017399625442044,0.021662497194483876
9,0.027841301138996785,0.02165079559199512
10,0.027340246745803223,0.018659128714352845
11,0.027176757105699497,0.01905687900725752
12,0.02690842390100758,0.0183590185130015
13,0.026500212264203238,0.01823579005431384
14,0.026487566475705132,0.018841519858688115
15,0.026251781489846745,0.018453174666501582
16,0.025973611760620526,0.01808028605300933
17,0.025843177502241542,0.017761073936708272
18,0.0256789515636436,0.01820243310648948
19,0.025659869629413065,0.0181397637585178
