epoch,trn loss,val loss
0,0.053087697753052075,0.048139672446995976
1,0.04092460967908342,0.044231304060667755
2,0.03982176028529373,0.045830820128321646
3,0.03835783321337085,0.042461410909891126
4,0.03716883226664458,0.04079220155254006
5,0.03601204041450277,0.04046170767396688
6,0.03546254250668283,0.040114686172455546
7,0.03522995799985223,0.04075964903458953
8,0.035878040974475736,0.03978431420400739
9,0.03448764680826113,0.03856484740972519
10,0.034155037985586625,0.03838901845738292
11,0.03401388324371825,0.038245259411633016
12,0.033969536194519145,0.03778570676222444
13,0.03344249552827123,0.037742828112095596
14,0.03330815864697568,0.03778414838016033
15,0.034239933591365346,0.038761521317064764
16,0.03365537018595836,0.03768464382737875
17,0.033204182661615136,0.03723977878689766
18,0.03302578302650294,0.03745766673237085
19,0.03281100881542629,0.0374214936979115
