epoch,trn loss,trn acc,val loss,val acc
0,3.233845934623808,0.21458461538461537,2.685955375432968,0.3214
1,2.31906933601447,0.40093076923076926,2.1715704768896105,0.439
2,1.8870982344694964,0.49988461538461537,1.8846922814846039,0.5064
3,1.6018426154307492,0.5672615384615385,1.64626287817955,0.5564
4,1.4106211333176282,0.6126461538461538,1.5777504831552505,0.574
5,1.2614752159226599,0.6503769230769231,1.417754203081131,0.611
6,1.1470387668356181,0.6778615384615385,1.3491523832082748,0.6382
7,1.0487154685840832,0.7037692307692308,1.3453171640634536,0.6458
8,0.9672122037434202,0.7226615384615385,1.2167728945612908,0.669
9,0.8950260369561789,0.7403923076923077,1.1792452424764632,0.6772
10,0.843299336262106,0.7543307692307692,1.197015070915222,0.6848
11,0.787452529059855,0.7687923076923077,1.1070965468883514,0.6888
12,0.7349484401249041,0.7817384615384615,1.0881033033132552,0.6994
13,0.69843575977317,0.7917307692307692,1.1088918909430503,0.7008
14,0.6581001250351978,0.8022692307692307,1.0810093462467194,0.6996
