epoch,trn loss,trn acc,val loss,val acc
0,3.0456342260668596,0.24869230769230768,2.480255925655365,0.3734
1,2.0608433287913406,0.45497692307692306,1.9866147756576538,0.4714
2,1.6413314591242572,0.5538153846153846,1.6789126694202423,0.551
3,1.3934619614458459,0.6154384615384615,1.4969289243221282,0.5902
4,1.2126300380689892,0.6598615384615385,1.3857104063034058,0.627
5,1.087144848751271,0.6922076923076923,1.2585827469825746,0.6492
6,0.9864557401871118,0.7161461538461539,1.1993136048316955,0.6764
7,0.9094042483511873,0.7369384615384615,1.1633312553167343,0.6846
8,0.840287420458681,0.7551230769230769,1.0845548033714294,0.7026
9,0.7811383730548573,0.7702384615384615,1.0365916520357132,0.7152
10,0.7352430500148788,0.7823538461538462,1.0901409149169923,0.7114
11,0.6903806766421776,0.7937923076923077,0.9975589871406555,0.7224
12,0.6516963277510771,0.8028307692307692,0.9872342109680176,0.7318
13,0.615469021062682,0.8124692307692307,1.0087951689958572,0.7238
14,0.5776359664173577,0.8224230769230769,1.0082808911800385,0.7306
