epoch,trn loss,trn acc,val loss,val acc
0,3.0441715771288385,0.24886923076923076,2.5158465445041656,0.3522
1,2.1066238376803286,0.44705384615384614,1.9964264690876008,0.4664
2,1.6870742962350995,0.5453076923076923,1.696762092411518,0.5414
3,1.4258594287662056,0.6093692307692308,1.5075888723134994,0.5932
4,1.2505073571416336,0.6508384615384616,1.3980437263846397,0.6204
5,1.1194074788666146,0.6862153846153846,1.2957006812095642,0.644
6,1.015178090885399,0.7106923076923077,1.2488944962620736,0.6622
7,0.9386147017202039,0.7293615384615385,1.1867693275213242,0.679
8,0.8662502307474144,0.7501230769230769,1.1052299976348876,0.6992
9,0.8100327722082926,0.7634,1.079126700758934,0.701
10,0.7600464995393134,0.7757461538461539,1.0916616559028625,0.7026
11,0.7186459664284713,0.7879846153846154,1.0452991887927054,0.7054
12,0.6761649560447284,0.797,1.0688062518835069,0.7122
13,0.6442904890052915,0.805976923076923,1.0600129768252373,0.7182
14,0.6128512591886239,0.8148923076923077,1.0164817914366722,0.721
