epoch,trn loss,trn acc,val loss,val acc
0,3.0335640172789415,0.2551769230769231,2.489630329608917,0.3572
1,2.0743989632354944,0.4563153846153846,1.968162974715233,0.4806
2,1.664650490316819,0.5511,1.687239980697632,0.559
3,1.409815389222986,0.6138,1.4830719888210298,0.5934
4,1.236028439064664,0.6556615384615384,1.3716819539666176,0.6256
5,1.11197158113474,0.6880461538461539,1.330111786723137,0.6358
6,1.011774130224243,0.7113076923076923,1.2296607464551925,0.6588
7,0.9301357340859616,0.7331923076923077,1.182482323050499,0.6726
8,0.8638853444241164,0.7490076923076923,1.1281596630811692,0.696
9,0.807039504093448,0.7639076923076923,1.0903915628790855,0.706
10,0.7563666965313783,0.7773461538461538,1.1050476387143136,0.7004
11,0.7135150083524036,0.7897846153846154,1.059749971330166,0.7124
12,0.6730983091855612,0.7980769230769231,1.0706028506159782,0.7106
13,0.6406193682703916,0.8064846153846154,1.048706778883934,0.7134
14,0.6063602933968146,0.8161846153846154,1.0181581258773804,0.7224
