epoch,trn loss,val loss
0,0.06647716121616092,0.06265026321634651
1,0.05550069346525303,0.05844584023579955
2,0.053129550197902393,0.05850146766752005
3,0.05172609458640805,0.05551781887188554
4,0.05012386386451407,0.05434888657182455
5,0.049080269854867783,0.053472026344388725
6,0.04878691626038021,0.05307957604527473
7,0.048485072219641656,0.05329996570944786
8,0.049596138195846025,0.0525920039974153
9,0.04782541056610937,0.051847676187753676
10,0.04752183415538331,0.05176538107916713
11,0.047270450451389306,0.05192413022741675
12,0.04752029490649817,0.05145012177526951
13,0.04697934230862875,0.051681464165449144
14,0.04675901081325032,0.05163090126588941
15,0.04664279087483296,0.05115196164697409
16,0.046898030756613404,0.052950013987720014
17,0.0468836634082529,0.05088434619829059
18,0.04637898466967809,0.050908500980585816
19,0.046198766359575386,0.050629669707268475
