epoch,trn loss,trn acc,val loss,val acc
0,3.0267437292834907,0.25176923076923075,2.48102924823761,0.376
1,2.0307125289609114,0.4628923076923077,1.9715429306030274,0.4748
2,1.6078511319291873,0.5630153846153846,1.6614237904548645,0.5566
3,1.3562571849879317,0.6246153846153846,1.453223741054535,0.6022
4,1.1770840019691649,0.6698076923076923,1.3670644402503966,0.6338
5,1.051191838238183,0.7007230769230769,1.2346041917800903,0.6588
6,0.9509478347507987,0.7262384615384615,1.2018310248851776,0.681
7,0.8740414919581,0.7479153846153846,1.1126788675785064,0.6974
8,0.7987521227419846,0.7656615384615385,1.0654824465513228,0.7084
9,0.7464893439153987,0.7798153846153846,1.0341024369001388,0.716
10,0.6931363734321332,0.7931076923076923,1.0581767141819,0.7208
11,0.6471040594413524,0.8043769230769231,0.9875964969396591,0.7284
12,0.6033605940229311,0.8161538461538461,0.9991197019815445,0.7346
13,0.5679849482427431,0.8254076923076923,0.9824329674243927,0.7336
14,0.5243486774366671,0.8374923076923076,1.021623894572258,0.7294
