epoch,trn loss,val loss
0,0.045827876822289636,0.027399120526388286
1,0.03131402047226337,0.027736059250310065
2,0.02945039663775494,0.023895635874941944
3,0.027962079037926857,0.024171993043273686
4,0.0275539772788532,0.02060318081639707
5,0.025949038324994952,0.01926766966935247
6,0.025313327909359255,0.018945057410746813
7,0.025051586481185235,0.01885541344527155
8,0.02488828877969755,0.020263284118846057
9,0.024484222483505885,0.020493827061727643
10,0.0241612991461105,0.017153367307037114
11,0.023843900797389975,0.017414747714065017
12,0.023972396890075482,0.016804520227015018
13,0.02348854048654261,0.016806932608596982
14,0.023729849724084373,0.018342123902402818
15,0.023459356521094935,0.01666583796031773
16,0.02314614677090403,0.017935611959546804
