epoch,trn loss,trn acc,val loss,val acc
0,3.1136258601203677,0.23697692307692308,2.553399455547333,0.3496
1,2.1219995215417833,0.44414615384615386,1.9704073309898376,0.4706
2,1.6817352284831324,0.5474230769230769,1.6832110613584519,0.5462
3,1.4131361417413697,0.6124153846153846,1.478008958697319,0.6012
4,1.226204046935547,0.6578076923076923,1.3700856983661651,0.6258
5,1.0970547246768718,0.6907692307692308,1.2529779478907586,0.6476
6,0.9918960579267637,0.7171,1.2017897471785546,0.6688
7,0.9147844196656557,0.7374923076923077,1.169182263314724,0.674
8,0.8491787139003671,0.7535,1.0981213852763176,0.7054
9,0.7915836607846688,0.7689384615384616,1.0490418836474418,0.7098
10,0.7426176325777384,0.7812076923076923,1.0632732808589935,0.71
11,0.7017487251148449,0.7914461538461538,1.0441998079419137,0.7104
12,0.6603856208169554,0.8005769230769231,1.0395529687404632,0.7238
13,0.6270052520484906,0.8102692307692307,1.0323318466544151,0.7202
14,0.5984475442802343,0.8184538461538462,0.9747783958911895,0.7306
