epoch,trn loss,trn acc,val loss,val acc
0,3.1759474430027907,0.2268153846153846,2.631740128993988,0.3374
1,2.2244127849190254,0.4219538461538462,2.105536112189293,0.438
2,1.7875929326992335,0.5216846153846154,1.8103082060813904,0.5254
3,1.5040460014202464,0.5897692307692308,1.602309200167656,0.5618
4,1.3118103051514138,0.6369461538461538,1.4813257098197936,0.6054
5,1.1671035331417257,0.6733615384615385,1.355008165538311,0.6292
6,1.0486929025941008,0.7034,1.2906034201383592,0.654
7,0.9569607973685414,0.7257538461538462,1.244992733001709,0.6638
8,0.8722394261890509,0.7463461538461539,1.2010425359010697,0.6792
9,0.8071109153271661,0.7645538461538461,1.147716224193573,0.6936
10,0.7436058407752063,0.7806692307692308,1.1700164094567298,0.6944
11,0.6947533831469656,0.7934153846153846,1.10786542147398,0.6994
12,0.6398724716186054,0.8067307692307693,1.115556438267231,0.7052
13,0.6033696252706013,0.8170461538461539,1.1007380872964858,0.7172
14,0.551581605476892,0.8310076923076923,1.0782382845878602,0.7178
