model,pose,background,pattern,color,smaller,shape,partial_view,subcategory,texture,larger,darker,object_blocking,person_blocking,style,brighter,multiple_objects
a2mim,0.7648189277206872,0.9651779727208113,1.2648688386437392,1.3551068075649688,1.7166790002440881,1.797995373939861,1.1415843644062609,1.6596880374829488,1.8836142012703307,0.9807247494217423,1.797995373939861,1.4383962991518888,1.797995373939861,0.0,1.1986635826265741,0.0
moco,0.7773204850608529,0.9912212037808585,1.1123279850970496,1.2793832649338808,1.847116720553673,2.191214470284238,1.0999548829006196,1.5064599483204137,2.152085640457734,0.8217054263565892,1.5064599483204137,1.8077519379844964,3.0129198966408275,0.0,0.5021533161068045,0.0
