model,pose,background,pattern,color,smaller,shape,partial_view,subcategory,texture,larger,darker,object_blocking,person_blocking,style,brighter,multiple_objects
a2mim_resnet50_,0.7648189277206872,0.9651779727208113,1.2648688386437392,1.3551068075649688,1.7166790002440881,1.797995373939861,1.1415843644062609,1.6596880374829488,1.8836142012703307,0.9807247494217423,1.797995373939861,1.4383962991518888,1.797995373939861,0.0,1.1986635826265741,0.0
ftune_resnet18_ftune-res18_layer2_patch4-best,0.7941117555675247,1.0212698822873385,1.047288440064087,1.199220189119489,1.6472900340253804,2.065414057063326,1.1849200826236317,2.1221562014881425,1.8546575206282927,1.1802366040361862,2.163767107399675,1.9473903966597073,1.6228253305497562,0.0,1.6228253305497562,1.0818835536998375
ftune_resnet18_ftune-res18_layer4_patch32-best,0.7660280929051578,1.0226521122908223,0.9879282797798685,1.3029860799281545,1.8216272200698147,2.2068008327550315,1.078880407124682,2.1162654139753374,1.6953834969102144,0.8827203331020124,1.618320610687023,1.2946564885496183,1.618320610687023,0.0,1.078880407124682,1.078880407124682
ftune_resnet50_ftune-res50_layer2_patch4_highmask-best,0.7494193983832127,1.0645457314929818,1.0827003513468298,1.2829454083791791,1.6861284841473556,1.8302158273381297,0.852163983099235,1.9358052019922525,1.4380267214799591,0.9151079136690649,1.677697841726619,2.013237410071943,1.677697841726619,0.0,1.118465227817746,1.118465227817746
ftune_resnet50_ftune-res50_layer4_patch32_wd-best,0.7499057461577698,1.02485153259023,1.0878744946266286,1.2802967397954728,1.8631343941102245,1.8900445765230314,1.2100285384089249,1.8658132357983772,1.6500389160121702,0.6300148588410104,2.310054482417039,1.3860326894502233,3.4650817236255578,0.0,1.1550272412085194,0.0
moco_v3_resnet50_,0.7773204850608529,0.9912212037808585,1.1123279850970496,1.2793832649338808,1.847116720553673,2.191214470284238,1.0999548829006196,1.5064599483204137,2.152085640457734,0.8217054263565892,1.5064599483204137,1.8077519379844964,3.0129198966408275,0.0,0.5021533161068045,0.0
