model,pose,background,pattern,color,smaller,shape,partial_view,subcategory,texture,larger,darker,object_blocking,person_blocking,style,brighter,multiple_objects,worst_factor,average,val_acc
a2mim_resnet50_,0.7873134328358209,0.7315960912052117,0.6482558139534884,0.6231617647058824,0.5226130653266332,0.5,0.6825396825396826,0.5384615384615384,0.47619047619047616,0.7272727272727273,0.5,0.6,0.5,1.0,0.6666666666666666,1.0,0.47619047619047616,0.7219125214408233,0.7362
ftune_resnet18_ftune-res18_layer2_patch4-best,0.7553304904051172,0.6853420195439739,0.6773255813953488,0.6305147058823529,0.49246231155778897,0.36363636363636365,0.6349206349206349,0.34615384615384615,0.42857142857142855,0.6363636363636364,0.3333333333333333,0.4,0.5,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6918953687821612,0.7064
ftune_resnet18_ftune-res18_layer4_patch32-best,0.7633262260127932,0.6840390879478827,0.6947674418604651,0.5974264705882353,0.4371859296482412,0.3181818181818182,0.6666666666666666,0.34615384615384615,0.47619047619047616,0.7272727272727273,0.5,0.6,0.5,1.0,0.6666666666666666,0.6666666666666666,0.3181818181818182,0.6910377358490566,0.7056
ftune_resnet50_ftune-res50_layer2_patch4_highmask-best,0.7766524520255863,0.6827361563517915,0.6773255813953488,0.6176470588235294,0.49748743718592964,0.45454545454545453,0.746031746031746,0.4230769230769231,0.5714285714285714,0.7272727272727273,0.5,0.4,0.5,1.0,0.6666666666666666,0.6666666666666666,0.4,0.7019725557461407,0.7178
ftune_resnet50_ftune-res50_layer4_patch32_wd-best,0.7835820895522388,0.7042345276872964,0.686046511627907,0.6305147058823529,0.4623115577889447,0.45454545454545453,0.6507936507936508,0.46153846153846156,0.5238095238095238,0.8181818181818182,0.3333333333333333,0.6,0.0,1.0,0.6666666666666666,1.0,0.0,0.7114065180102916,0.726
moco_v3_resnet50_,0.7420042643923241,0.6710097719869706,0.6308139534883721,0.5753676470588235,0.3869346733668342,0.2727272727272727,0.6349206349206349,0.5,0.2857142857142857,0.7272727272727273,0.5,0.4,0.0,1.0,0.8333333333333334,1.0,0.0,0.6680960548885078,0.6852
